Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.07,0.39,10.64,18.42,24.26,27.52,29.27,38.01,43.07,51.81,62.41,82.79,100,113.79,120.55,123.89,125.12,123.68,129.06,182.85
Denmark,38.25,42.34,46.63,50.07,53.06,55.34,56.62,59.31,61.65,64.71,66.39,68.16,69.29,69.69,70.78,71.69,73.13,74.6,75.52,76.8,79.11,81.11,83.01,84.24,86.01,88.51,90.34,92.54,96.37,96.88,100,100.64,103.03,103.94,105.02,105.75,105.7,107.35
Djibouti,55.5,57.25,58.84,58.72,61.82,64.02,69.52,71.22,74.6,78.14,75.68,79.74,77.8,74.3,80.68,76.21,78.23,73.98,75.11,79.17,81.05,82.55,83.06,84.72,87.32,90.02,86.64,91.03,99.43,98.29,100,103.61,107.41,113.51,114.47,117.18,116.39,116.91
Dominica,30.68,30.67,32.05,34.62,36.91,39.99,42.45,44.51,46.66,49.9,51.41,55.43,57.73,59.34,62.89,64.13,65.94,67.54,67.65,69.61,86.98,88.45,88.61,85.3,88.44,87.48,89.58,90.94,92.32,99.7,100,101.69,99.71,103.62,103.52,108.54,114.91,116.06
Dominican Rep.,1.18,1.24,1.34,1.39,1.64,2.55,2.79,3.19,4.58,5.66,8.52,17.28,18.25,19.16,21.1,23.13,23.98,26.25,27.96,29.03,31.12,33,35.29,47.09,68.36,72.31,77.12,83.01,91.63,94.84,100,108.06,113.57,118.9,121.33,122.11,123.18,127.7
Ecuador,60.77,70.18,63.74,55.04,52.88,51.59,44.53,40.65,35.93,37.86,40.06,42.82,44.66,45.84,52.73,55.48,56.31,60.25,57.97,42.73,39.43,50.63,56.75,62.76,65.44,70.5,76.14,81.2,92.45,93.05,100,105.66,110.93,114.36,117.83,114.89,115.94,117.64
Egypt,5.69,5.76,6.29,6.81,7.57,8.25,9.31,12.2,13.87,16.44,19.47,22.29,26.69,28.94,31.38,34.96,37.45,41.15,42.75,43.12,45.25,46.09,47.56,50.78,56.71,60.23,64.66,72.8,81.68,90.82,100,111.65,133.41,145.04,161.35,177.37,188.45,231.67
El Salvador,30.31,32.55,34.36,34.91,35.97,37.11,36.76,37.63,39.1,40.41,42.47,45.62,47.19,51.24,56.27,62.41,66.52,68.77,71.68,72.39,74.76,77.24,78.4,80.73,82.92,86.46,90.2,94.16,97.48,97.42,100,105.91,108.61,109.03,109.87,110.08,110.76,112.29
Equatorial Guinea,6.86,7.85,11.03,13.76,17.29,26.41,25.64,26.03,27.06,25.76,28.43,29.44,24.9,24.23,30.17,32.49,32.76,28.45,19.47,27.09,44.63,39.29,38.67,38.91,45.5,72.49,81.9,84.38,101.12,80.06,100,117.05,122.73,121.41,119.86,95.64,89.56,100.78
Eritrea,8.57,9.01,9.48,9.96,10.49,11.01,11.57,12.18,12.86,13.39,14.1,15.24,12.06,11.89,13.13,14.42,15.73,16.34,17.83,18.24,22.8,26.24,30.48,37.14,46.35,49.89,55.57,59.62,69.21,89.63,100,113.34,125.57,138.03,152.09,167.17,182.06,197.91
Estonia,24.16,31.52,41.13,53.69,70.09,91.34,119.24,155.87,203.5,263.52,346.3,835.61,19.05,16.3,23.17,35.04,43.67,48.12,51.91,55.78,57.88,61.54,64.64,67.42,70.7,74.99,81.65,91.05,97.87,98.29,100,105.26,108.59,112.45,114.1,115.53,117.37,122.03
Ethiopia,13.29,14.3,14.91,15.31,14.89,19.62,18.59,17.45,17.99,19,19.62,23.36,26.99,30.6,31.5,35.5,35.59,35.66,35.61,36.4,39.85,37.55,36.19,40.81,42.41,46.6,51.98,60.93,79.4,98.58,100,120.06,160.33,168.19,186.66,206.89,228.4,242.85
Fiji,27.57,27.84,31.21,33.34,34.34,37.17,38.3,41.11,44.12,45.38,48.41,51.31,54.52,58.47,58.96,59.64,61.37,63.49,68.24,72.89,69.49,71.82,74.21,80.05,81.84,87.42,90.68,93.36,94.63,95.94,100,109.39,113.3,117.41,121.93,126.96,135.26,139.31
Finland,36.37,40.61,44.29,47.93,51.98,54.7,57.31,59.77,64.35,68.56,72.13,73.25,73.93,75.26,76.65,79.87,79.79,81.48,84.01,84.81,86.19,89.06,89.93,90.12,90.67,91.51,92.34,94.89,97.81,99.65,100,102.58,105.61,108.31,110.14,112.2,113.09,114.15
Former Soviet Union,0,0,0,0,0,0.01,0.02,0.04,0.08,0.21,0.24,0.22,0.06,0.46,2.41,6.6,9.52,11,12.56,19.06,25.34,29.35,33.56,38.13,45.35,53.9,62.16,71.22,85.21,87.48,100,123.49,137.19,146.22,158.39,173.54,183.58,197.25
France,40.16,44.86,50.28,55.12,59.01,62.23,65.37,66.96,69.11,71.37,73.28,75.15,76.63,77.86,78.59,79.49,80.59,81.3,82.09,82.27,83.59,85.29,87.07,88.69,90.17,91.97,94.02,96.48,98.82,98.96,100,101.06,102.37,103.16,103.77,105,105.19,106.23
Gabon,20.62,22.78,26.63,27.41,30.7,30.31,24,24.24,24.87,26.79,30.91,27.4,27.46,27.32,40.03,40.57,46.07,46.51,38.23,45.57,58.37,58.27,58.77,58.64,63.2,75.9,83.39,86.92,104.72,85.79,100,112.68,109.36,102.63,101.76,92.67,88.72,89.88
Gambia,4.47,4.54,5.2,5.34,5.82,8.11,11.4,13.51,14.82,16.86,18.88,44.18,45.04,47.36,49.15,51.09,55.37,52.06,54.88,53.55,54.73,55.72,61.51,69.44,81.14,84.06,85.68,89.36,91.16,95.88,100,103.72,108.33,114.48,122.06,129.84,139.11,150.42
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,10.86,28.53,40.81,43.48,46.5,51.02,53.41,56.28,59.61,61.65,66.81,72.11,78.22,85.81,94.14,92.13,100,109.45,110.63,109.78,113.93,120.64,125.69,133.85
Germany,57.11,59.49,62.22,63.96,65.24,66.62,68.62,69.5,70.67,72.71,75.18,77.5,81.6,84.97,86.81,88.52,89.07,89.31,89.85,90.14,89.73,90.88,92.1,93.22,94.24,94.82,95.11,96.72,97.53,99.25,100,101.07,102.63,104.64,106.52,108.67,110.11,111.8
Ghana,0.03,0.05,0.07,0.15,0.21,0.25,0.36,0.5,0.66,0.85,1.11,1.34,1.49,1.96,2.55,3.65,5.1,6.09,7.13,8.12,10.34,13.94,17.12,22.03,25.19,28.96,52.35,62.1,74.15,85.77,100,113.91,131.24,151.68,176.99,205.96,242.64,275.14
Greece,5.1,6.2,7.89,9.52,11.6,13.81,16.42,18.92,22.08,25.28,30.51,36.55,41.96,48.02,53.39,58.61,63.09,67.22,70.65,73.21,74.38,76.96,79.54,82.29,84.81,86.71,89.74,92.81,96.84,99.33,100,100.8,100.43,98.06,96.27,95.28,94.37,95
