,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
4357,UEI-IMD-FL-2013-0085,20130804,20130808,5.0,heavy rains ,,"Alappuzha, Ernakulam and Idukki, ",Kerala,,,,,17,3,,,"Idukki:i) 15 persons died as a mini bus, a jeep and few motor cycles swept away. ii) One person missing and 2 injured in landslide.  Kochi: 2 persons died in Kochi.  ","Alappuzha: i) One house washed away and several houses inundated. ii) About 1.8 lakh people shifted to 183 relief camps. iii) Damage to 1600 acres of agricultural crops reported. Ernakulam: i) Kothamangalam town and Kochi airport runway flooded. ii) Landslide at Blavana Pooyamkutty road reported. iii) About 14,043 people shifted to 121 relief camps. iv) Manikandanchal bridge, Mahadeva temple submerged in Aluva. Idukki: i) About 10 shops buried in landslide. ii) Few houses and buildings collapsed. iii) 240 people shifted to 5 relief camps. iv) Landslide reported near Kulamavu and around 4 acres of land washed away. v) A hill caved down around 600 feet causing damage to agricultural crops. vi) Land caved in and roads blocked causing  road traffic disruption.   ",IMD,
4358,UEI-IMD-FL-2013-0086,20130810,20130816,7.0,heavy rains,,Wayanad ,Kerala,,,,,,,,,,i) Landslide reported. ii) Acres of paddy fields damaged. iii) Thalasserry-Mananthavady road completely damaged disrupting vehicular traffic ,IMD,
4359,UEI-IMD-FL-2013-0087,20130901,20130901,1.0,heavy rains ,,Idukki,Kerala,,,,,,,,,,i) 15 acres of paddy fields washed away in Mangad. ii) Loss of worth lakh rupees reported. ,IMD,
4360,UEI-IMD-FL-2013-0088,20130912,20130912,1.0,heavy rains ,,Wayanad ,Kerala,,,,,,,,,,i) Padumutty bridge collapsed. ii) 2 houses damaged partially. iii) Several houses inundated. iv) Landslide reported. v) People shifted to safer places.,IMD,
4361,UEI-IMD-FL-2013-0089,20130917,20130917,1.0,heavy rains ,,Thiruvananthapuram ,Kerala,,,,,,3,,,3 persons injured.,"i) In Venjaranmood village, a tree fell and broke 11KV electric line causing traffic disruption. ii) Some vehicles damaged. ",IMD,
4362,UEI-IMD-FL-2013-0090,20130626,20130627,2.0,heavy rains,,"Betul, Rajgarh, Sagar, Sehore and Ujjain ",Madhya Pradesh,,,,,,7,,,7 persons swept away. ,Trees/poles uprooted disrupting electricity/telephone services. ,IMD,
4363,UEI-IMD-FL-2013-0091,20130704,20130704,1.0,heavy rains ,,Indore ,Madhya Pradesh,,,,,,3,,,One girl drowned in manholes and 2 others swept away.,,IMD,
4364,UEI-IMD-FL-2013-0092,20130713,20130716,4.0,heavy rains ,,Betul and Harda ,Madhya Pradesh,,,,,10,2,,,i) 10 persons swept away in the flood water of Bukakhedi river in Betul. ii) 2 boys swept away in Harda.  ,Low lying areas and crop land inundated.,IMD,
4365,UEI-IMD-FL-2013-0093,20130823,20130823,1.0,heavy rains ,,Sehore ,Madhya Pradesh,,,,,,1,,,One girl swept away. ,i) Damage to few houses reported ii) More than 100 villages submerged. iii) Low lying areas inundated.,IMD,
4366,UEI-IMD-FL-2013-0094,20130211,20130211,1.0,heavy rains ,,Jalgaon and Nanded ,Maharastra,,,,,,,,,,"Damage to wheat, banana, pappya, chilly crops reported",IMD,
4367,UEI-IMD-FL-2013-0095,20130223,20130223,1.0,heavy rains ,,Wardha,Maharastra,,,,,1,,,,One person died as a tree fell on him. ,"Damage to oranges, mosambi, wheat, gram, chilly and vegetables in some hectares of area reported. ",IMD,
4368,UEI-IMD-FL-2013-0096,20130417,20130417,1.0,heavy rains ,,Jalgaon ,Maharastra,,,,,1,,,,One woman died as a tree fell on her. ,"Banana, cotton and jawar plantations damaged. ",IMD,
4369,UEI-IMD-FL-2013-0097,20130423,20130423,1.0,heavy rains ,,Nagpur ,Maharastra,,,,,,,,,,"About 50,000 sacks of soya and wheat grains affected. ",IMD,
